央视高清频道,#genre#
CCTV 女性时尚高清,http://192.168.3.1:55555/udp/239.21.0.73:3632
CCTV 世界地理高清,http://192.168.3.1:55555/udp/239.21.0.74:3636
CCTV 怀旧剧场高清,http://192.168.3.1:55555/udp/239.21.0.75:3640
CCTV 风云剧场高清,http://192.168.3.1:55555/udp/239.21.0.76:3644
CCTV 央视精品高清,http://192.168.3.1:55555/udp/239.21.0.77:3648
CCTV 第一剧场高清,http://192.168.3.1:55555/udp/239.21.0.78:3652
CCTV 风云音乐高清,http://192.168.3.1:55555/udp/239.21.0.79:3656
CCTV 兵器科技高清,http://192.168.3.1:55555/udp/239.21.0.80:3660
CCTV 电视指南高清,http://192.168.3.1:55555/udp/239.21.0.81:3664

广东频道,#genre#

广东卫视高清,http://192.168.3.1:55555/udp/239.10.0.111:1025
大湾区卫视高清,http://192.168.3.1:55555/udp/239.11.0.78:1025
广东科教高清,http://192.168.3.1:55555/udp/239.10.0.112:1025
广东珠江高清,http://192.168.3.1:55555/udp/239.10.0.62:1025
广东新闻高清,http://192.168.3.1:55555/udp/239.10.0.199:1025
广东影视高清,http://192.168.3.1:55555/udp/239.11.0.79:1025
广东少儿高清,http://192.168.3.1:55555/udp/239.11.0.81:1025
广东公共高清,http://192.168.3.1:55555/udp/239.11.0.80:1025
广东体育高清,http://192.168.3.1:55555/udp/239.10.0.113:1025
广州综合高清,http://192.168.3.1:55555/udp/239.11.0.138:1025
广州新闻高清,http://192.168.3.1:55555/udp/239.11.0.139:1025
广州影视高清,http://192.168.3.1:55555/udp/239.11.0.140:1025
广州法治高清,http://192.168.3.1:55555/udp/239.11.0.141:1025
广州竞赛高清,http://192.168.3.1:55555/udp/239.11.0.142:1025
佛山综合高清,http://192.168.3.1:55555/udp/239.11.0.118:1025
佛山公共高清,http://192.168.3.1:55555/udp/239.11.0.114:1025
佛山影视高清,http://192.168.3.1:55555/udp/239.11.0.117:1025
佛山南海高清,http://192.168.3.1:55555/udp/239.11.0.115:1025
佛山顺德高清,http://192.168.3.1:55555/udp/239.11.0.116:1025
中山综合高清,http://192.168.3.1:55555/udp/239.11.0.122:1025
